Date,Timestamp,Open,High,Low,Close,Volume
20210224,09:00:00,1.4119,1.41307,1.41156,1.41304,1892.96000032127
20210224,10:00:00,1.41306,1.42415,1.41268,1.41772,7143.20999937505
20210224,11:00:00,1.41777,1.41801,1.41628,1.41689,2573.10000037402
20210224,12:00:00,1.41685,1.41752,1.41554,1.41579,2040.48999776691
20210224,13:00:00,1.41582,1.41683,1.41565,1.416,1261.27999663353
20210224,14:00:00,1.41601,1.41637,1.41501,1.41635,1730.93000023812
20210224,15:00:00,1.4163,1.41928,1.4156,1.41913,1346.6000008285
20210224,16:00:00,1.41912,1.42075,1.41692,1.41798,4059.28999869525
20210224,17:00:00,1.41798,1.41955,1.41613,1.41732,7607.38000263274
20210224,18:00:00,1.41732,1.41796,1.41589,1.41621,6185.89998980612
20210224,19:00:00,1.4162,1.41643,1.41375,1.41524,4475.92000423372
20210224,20:00:00,1.41524,1.4155,1.41194,1.41359,3454.52000056207
20210224,21:00:00,1.41357,1.41512,1.41209,1.41216,3833.65000264347
20210224,22:00:00,1.41214,1.41253,1.40922,1.40974,6940.12000544369
20210224,23:00:00,1.40973,1.4129,1.40933,1.41168,8571.74001101404
20210225,00:00:00,1.41163,1.4121,1.40917,1.41032,9825.80000859499
20210225,01:00:00,1.41029,1.41065,1.40819,1.41041,5977.20000784099
20210225,02:00:00,1.41042,1.41175,1.41004,1.41011,3070.80000028014
20210225,03:00:00,1.41011,1.4121,1.40971,1.4113,2264.46000492573
20210225,04:00:00,1.41131,1.41252,1.41104,1.41232,1858.76000086218
20210225,05:00:00,1.41232,1.41387,1.41185,1.41368,2174.78000215441
20210225,06:00:00,1.41372,1.41458,1.41343,1.41389,2035.46500410885
20210225,07:00:00,1.41378,1.41435,1.41298,1.414,1986.52750980668
20210225,08:00:00,1.41401,1.41472,1.41395,1.41461,2113.01001282781
20210225,09:00:00,1.41459,1.41505,1.41413,1.41442,1412.75000086427
20210225,10:00:00,1.41443,1.41477,1.41267,1.41271,2405.86000018567
20210225,11:00:00,1.41269,1.41394,1.41267,1.41364,1578.6199978739
20210225,12:00:00,1.41364,1.41454,1.41343,1.41442,923.990000322461
20210225,13:00:00,1.41443,1.41639,1.41427,1.41593,1423.60999999195
20210225,14:00:00,1.41593,1.41695,1.41593,1.41625,1418.36999972165
20210225,15:00:00,1.41626,1.41665,1.41515,1.41598,1593.90000041574
20210225,16:00:00,1.41596,1.41613,1.41215,1.41485,3885.74000441283
20210225,17:00:00,1.41486,1.4168,1.41354,1.41671,8464.23998898268
20210225,18:00:00,1.41671,1.41753,1.41578,1.41749,7218.71000172943
20210225,19:00:00,1.41747,1.41748,1.41532,1.41643,8806.4500028491
20210225,20:00:00,1.41644,1.41742,1.41262,1.4134,8347.81001040339
20210225,21:00:00,1.41341,1.41507,1.41302,1.41419,6667.08000873029
20210225,22:00:00,1.41418,1.41541,1.41319,1.41425,8468.47000501305
20210225,23:00:00,1.41426,1.4182,1.41361,1.41657,10766.4300165251
20210226,00:00:00,1.41656,1.4171,1.41329,1.41366,10928.9800119027
20210226,01:00:00,1.41368,1.41373,1.41009,1.41047,7814.79000170529
20210226,02:00:00,1.41044,1.41075,1.40545,1.40643,8883.19999982417
20210226,03:00:00,1.40642,1.40673,1.4,1.40258,13876.730025053
20210226,04:00:00,1.40255,1.40512,1.40208,1.40347,6857.58000066876
20210226,05:00:00,1.40346,1.40416,1.4006,1.40071,9715.38006616384
20210226,06:00:00,1.40071,1.40156,1.4002,1.40046,2919.20500893891
20210226,07:00:00,1.40081,1.40186,1.40017,1.40107,6950.28991714586
20210226,08:00:00,1.40106,1.40259,1.40033,1.40033,3605.06000319868
20210226,09:00:00,1.40035,1.40095,1.39499,1.39836,6173.67000406235
20210226,10:00:00,1.39835,1.40031,1.39794,1.39966,5942.54000926763
20210226,11:00:00,1.39965,1.40214,1.39947,1.401,3981.10000354052
20210226,12:00:00,1.40099,1.40146,1.39831,1.39855,2835.36000537872
20210226,13:00:00,1.39851,1.39884,1.39427,1.39564,3258.91000393778
20210226,14:00:00,1.39563,1.39708,1.39483,1.39497,4277.21000329405
20210226,15:00:00,1.39496,1.39545,1.39234,1.39434,4239.65000259876
20210226,16:00:00,1.39433,1.39438,1.39107,1.3913,8419.56001006067
20210226,17:00:00,1.39134,1.39589,1.39009,1.39449,9699.5800120458
20210226,18:00:00,1.39447,1.39611,1.39279,1.39427,6544.87000373006
20210226,19:00:00,1.39429,1.39487,1.38876,1.3888,9017.92000711709
20210226,20:00:00,1.3888,1.39486,1.3888,1.39266,11301.0000054762
20210226,21:00:00,1.39265,1.39679,1.39074,1.3943,9749.93000567704
20210226,22:00:00,1.3943,1.39579,1.39122,1.39566,10857.4600090608
20210226,23:00:00,1.39571,1.39791,1.39359,1.39365,13699.9100099504
20210227,00:00:00,1.39365,1.39872,1.39127,1.39763,17746.1899900436
20210227,01:00:00,1.39759,1.39807,1.39201,1.3944,13286.4100096151
20210227,02:00:00,1.3944,1.39606,1.39275,1.39446,8386.93999698758
20210227,03:00:00,1.39445,1.39558,1.39332,1.39492,6101.98000079393
20210227,04:00:00,1.39491,1.39576,1.3942,1.39448,4149.15000505745
20210227,05:00:00,1.39445,1.39466,1.39278,1.39281,3423.5499991402
20210227,06:00:00,1.39279,1.39414,1.39144,1.39244,5524.40002820641
20210301,07:00:00,1.3929,1.39444,1.39286,1.3936,7470.76651985291
20210301,08:00:00,1.39362,1.39792,1.39301,1.39734,4078.18000358343
20210301,09:00:00,1.39735,1.39931,1.39697,1.39874,3231.25000236928
20210301,10:00:00,1.39871,1.3999,1.3974,1.39853,3927.1999996528
20210301,11:00:00,1.39851,1.39955,1.39847,1.39884,3794.79000488669
20210301,12:00:00,1.39884,1.3991,1.39793,1.39861,2053.6900023371
20210301,13:00:00,1.39859,1.39866,1.39636,1.39674,2078.30000016838
20210301,14:00:00,1.39675,1.3984,1.39675,1.39829,2506.68000212312
20210301,15:00:00,1.39828,1.39975,1.39797,1.39931,2144.61000323296
20210301,16:00:00,1.3993,1.39983,1.39597,1.39632,4017.20000400394
20210301,17:00:00,1.39632,1.3967,1.39314,1.39494,6521.22000298649
20210301,18:00:00,1.39493,1.39541,1.39271,1.3946,5909.14000476152
20210301,19:00:00,1.39457,1.39668,1.39359,1.3955,5321.69000386447
20210301,20:00:00,1.3955,1.3978,1.39376,1.39397,5319.10000880808
20210301,21:00:00,1.39396,1.39473,1.39267,1.39275,5372.15000743419
20210301,22:00:00,1.39274,1.39407,1.39039,1.39374,5959.14000527561
20210301,23:00:00,1.39376,1.39622,1.39114,1.39171,10531.6299958676
20210302,00:00:00,1.39171,1.39471,1.39152,1.39364,11026.6499943659
20210302,01:00:00,1.39363,1.39561,1.39325,1.39369,5711.44999543577
20210302,02:00:00,1.39371,1.39478,1.39171,1.39188,4138.49999797344
20210302,03:00:00,1.39188,1.39254,1.39035,1.39199,3628.65999840945
20210302,04:00:00,1.39199,1.3932,1.39141,1.39208,2380.17999909073
