Date,Timestamp,Open,High,Low,Close,Volume
20200323,06:00:00,110.749,110.845,110.697,110.777,631.240000069141
20200323,07:00:00,110.786,111.25,110.483,111.068,13486.020003438
20200323,08:00:00,111.067,111.081,110.286,110.386,25298.280092597
20200323,09:00:00,110.389,110.779,110.256,110.536,27548.2600973845
20200323,10:00:00,110.535,110.727,110.133,110.371,16317.4800156951
20200323,11:00:00,110.372,110.375,109.994,110.074,15546.0400223732
20200323,12:00:00,110.074,110.389,110.012,110.283,15653.2800306082
20200323,13:00:00,110.281,110.283,109.994,110.081,11453.6600134373
20200323,14:00:00,110.082,110.102,109.792,109.883,12623.4900058508
20200323,15:00:00,109.885,110.286,109.667,110.05,13184.8200018406
20200323,16:00:00,110.05,110.293,110.028,110.236,20220.5200452805
20200323,17:00:00,110.237,110.247,110.076,110.18,20534.5800224543
20200323,18:00:00,110.18,110.738,110.18,110.488,14905.5100326538
20200323,19:00:00,110.487,110.719,110.477,110.646,13608.3700265884
20200323,20:00:00,110.645,110.884,110.539,110.804,14690.9900135994
20200323,21:00:00,110.804,110.835,109.817,110.217,47225.2600673437
20200323,22:00:00,110.215,110.852,110.159,110.6,41135.9900742769
20200323,23:00:00,110.6,110.871,110.585,110.787,36662.1699699163
20200324,00:00:00,110.785,111.367,110.714,111.35,27228.7599560022
20200324,01:00:00,111.35,111.596,111.175,111.224,35373.9500055313
20200324,02:00:00,111.223,111.386,111.139,111.222,28273.000019908
20200324,03:00:00,111.222,111.567,111.132,111.506,33206.4100077152
20200324,04:00:00,111.505,111.505,111.151,111.307,26973.2499992847
20200324,05:00:00,111.306,111.35,111.119,111.205,7806.92001736164
20200324,06:00:00,111.205,111.304,111.008,111.224,2849.73000231385
20200324,07:00:00,111.224,111.274,110.853,110.978,15649.5000253022
20200324,08:00:00,110.981,111.134,110.781,110.815,21175.070043087
20200324,09:00:00,110.813,110.979,110.445,110.455,25497.9900640249
20200324,10:00:00,110.453,110.514,110.263,110.348,24742.030040741
20200324,11:00:00,110.348,110.424,110.082,110.35,21065.6200679541
20200324,12:00:00,110.351,110.572,110.241,110.3,18647.5300682783
20200324,13:00:00,110.3,110.421,110.126,110.283,14787.9800310135
20200324,14:00:00,110.291,110.468,110.176,110.392,10480.1400198936
20200324,15:00:00,110.392,110.49,110.235,110.353,15161.5400352478
20200324,16:00:00,110.353,110.693,110.32,110.534,21261.7099642754
20200324,17:00:00,110.533,110.765,110.533,110.705,14571.1499464512
20200324,18:00:00,110.706,110.943,110.359,110.417,15350.359975338
20200324,19:00:00,110.417,110.635,110.292,110.479,15049.960006237
20200324,20:00:00,110.479,110.914,110.413,110.848,14064.3299593925
20200324,21:00:00,110.846,111.003,110.73,110.785,33035.6299337149
20200324,22:00:00,110.785,111.188,110.6,111.181,28846.4499293566
20200324,23:00:00,111.181,111.406,111.092,111.401,31909.0599112511
20200325,00:00:00,111.406,111.502,111.165,111.453,23477.4799672365
20200325,01:00:00,111.453,111.627,111.343,111.479,23458.9300080538
20200325,02:00:00,111.479,111.512,111.292,111.464,20509.3400409222
20200325,03:00:00,111.461,111.52,111.303,111.471,23086.360076189
20200325,04:00:00,111.472,111.713,111.46,111.503,23860.4600917101
20200325,05:00:00,111.504,111.534,111.178,111.207,7563.32998400927
20200325,06:00:00,111.207,111.54,111.197,111.297,4644.40000422299
20200325,07:00:00,111.297,111.362,111.056,111.192,8886.65998996794
20200325,08:00:00,111.192,111.305,111.042,111.122,16134.1000647545
20200325,09:00:00,111.122,111.272,110.937,111.004,24793.7400813103
20200325,10:00:00,111.004,111.012,110.75,110.817,20060.8100423813
20200325,11:00:00,110.819,111.035,110.786,110.866,16281.0300376415
20200325,12:00:00,110.866,111.135,110.866,111.102,13289.9900566339
20200325,13:00:00,111.104,111.346,111.064,111.319,15717.3200411797
20200325,14:00:00,111.319,111.491,111.194,111.234,22631.5100206137
20200325,15:00:00,111.234,111.372,111.133,111.329,18235.0500167608
20200325,16:00:00,111.327,111.479,111.171,111.463,18647.1599558592
20200325,17:00:00,111.464,111.567,111.301,111.308,19237.4899582863
